comune,rank,mercato,presenze,quota_pct
Guspini,2,Francia,4819,12.38
Guspini,3,Germania,4149,10.66
Guspini,4,Spagna,2690,6.91
Guspini,5,Svizzera (incluso Liechtenstein),1384,3.56
Iglesias,1,Italia,137016,57.01
Iglesias,2,Francia,26721,11.12
Iglesias,3,Germania,25105,10.45
Iglesias,4,Polonia,6104,2.54
Iglesias,5,Spagna,5486,2.28
Ilbono,1,Italia,7020,55.3
Ilbono,2,Germania,1959,15.43
Ilbono,3,Francia,840,6.62
Ilbono,4,Paesi Bassi,315,2.48
Ilbono,5,Belgio,269,2.12
Irgoli,1,Italia,7276,46.05
Irgoli,2,Germania,3485,22.06
Irgoli,3,Francia,1631,10.32
Irgoli,4,Spagna,479,3.03
Irgoli,5,Regno Unito,393,2.49
Isili,1,Italia,4762,77.13
Isili,2,Francia,221,3.58
Isili,3,Germania,216,3.5
Isili,4,Romania,111,1.8
Isili,5,Svizzera (incluso Liechtenstein),70,1.13
Ittiri,1,Italia,2137,69.52
Ittiri,2,Francia,205,6.67
Ittiri,3,Spagna,171,5.56
Ittiri,4,Germania,150,4.88
Ittiri,5,Polonia,84,2.73
Jerzu,1,Italia,9003,35.08
Jerzu,2,Germania,5983,23.31
Jerzu,3,Francia,2341,9.12
Jerzu,4,Paesi Bassi,1262,4.92
Jerzu,5,Svizzera (incluso Liechtenstein),1071,4.17
La Maddalena,1,Italia,638433,53.97
La Maddalena,2,Francia,130694,11.05
La Maddalena,3,Germania,112323,9.49
La Maddalena,4,Svizzera (incluso Liechtenstein),41286,3.49
La Maddalena,5,Spagna,39481,3.34
Laconi,1,Italia,6494,82.59
Laconi,2,Germania,259,3.29
Laconi,3,Francia,158,2.01
Laconi,4,Paesi Bassi,102,1.3
Laconi,5,Svizzera (incluso Liechtenstein),87,1.11
Laerru,1,Germania,309,28.53
Laerru,2,Italia,183,16.9
Laerru,3,Francia,110,10.16
Laerru,4,Spagna,97,8.96
Laerru,5,Altri Paesi Asia Occidentale,60,5.54
Lanusei,1,Italia,20415,72.22
Lanusei,2,Francia,1819,6.43
Lanusei,3,Germania,1731,6.12
Lanusei,4,Spagna,600,2.12
Lanusei,5,Polonia,478,1.69
Las Plassas,1,Italia,78,46.99
Las Plassas,2,Francia,51,30.72
Las Plassas,3,Svizzera (incluso Liechtenstein),14,8.43
Las Plassas,4,Paesi Bassi,13,7.83
Las Plassas,5,Germania,5,3.01
Loceri,1,Italia,7502,44.71
Loceri,2,Germania,3450,20.56
Loceri,3,Francia,1310,7.81
Loceri,4,Spagna,658,3.92
Loceri,5,Paesi Bassi,549,3.27
Loculi,1,Italia,1521,37.73
Loculi,2,Germania,683,16.94
Loculi,3,Francia,664,16.47
Loculi,4,Spagna,166,4.12
Loculi,5,Polonia,146,3.62
Lodine,1,Italia,56,100.0
Lodè,1,Italia,323,51.76
Lodè,2,Francia,129,20.67
Lodè,3,Germania,100,16.03
Lodè,4,Spagna,17,2.72
Lodè,5,Belgio,15,2.4
Loiri Porto San Paolo,1,Italia,227408,36.5
Loiri Porto San Paolo,2,Germania,145720,23.39
Loiri Porto San Paolo,3,Francia,45162,7.25
Loiri Porto San Paolo,4,Svizzera (incluso Liechtenstein),32721,5.25
Loiri Porto San Paolo,5,Regno Unito,27138,4.36
Lotzorai,1,Italia,185308,49.06
Lotzorai,2,Germania,108082,28.61
Lotzorai,3,Svizzera (incluso Liechtenstein),21346,5.65
Lotzorai,4,Austria,13045,3.45
Lotzorai,5,Francia,12277,3.25
Lula,1,Italia,463,73.73
Lula,2,Francia,67,10.67
Lula,3,Spagna,34,5.41
Lula,4,Germania,22,3.5
Lula,5,Belgio,7,1.11
Lunamatrona,1,Italia,253,38.69
Lunamatrona,2,Francia,123,18.81
Lunamatrona,3,Germania,102,15.6
Lunamatrona,4,Paesi Bassi,51,7.8
Lunamatrona,5,Repubblica Ceca,29,4.43
Luogosanto,1,Italia,9652,26.36
Luogosanto,2,Germania,5490,14.99
Luogosanto,3,Francia,4516,12.33
Luogosanto,4,Spagna,3019,8.24
Luogosanto,5,Lussemburgo,1710,4.67
Luras,1,Italia,1100,43.65
Luras,2,Francia,543,21.55
Luras,3,Germania,393,15.6
Luras,4,Polonia,91,3.61
Luras,5,Spagna,89,3.53
Macomer,1,Italia,42675,96.14
Macomer,2,Spagna,274,0.62
Macomer,3,Germania,164,0.37
Macomer,4,Francia,162,0.36
Macomer,5,Romania,115,0.26
Magomadas,1,Italia,13315,27.98
Magomadas,2,Germania,12210,25.66
Magomadas,3,Francia,7624,16.02
Magomadas,4,Svizzera (incluso Liechtenstein),2094,4.4
Magomadas,5,Paesi Bassi,1770,3.72
Mamoiada,1,Italia,5170,57.41
Mamoiada,2,Francia,828,9.19
Mamoiada,3,Germania,466,5.17
Mamoiada,4,Spagna,452,5.02
