"anno","provincia","comune","mese","macro_tipologia","provenienza","arrivi","presenze"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Stati Uniti d'America","2","4"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Canada","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Altri Paesi dell'Asia","1","2"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Piemonte","43","82"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Lombardia","58","131"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Veneto","17","47"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Friuli-Venezia Giulia","4","26"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Liguria","14","38"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Emilia Romagna","11","21"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Toscana","16","54"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Umbria","3","6"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Marche","2","3"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Lazio","61","115"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Abruzzo","6","19"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Campania","12","21"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Puglia","14","32"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Basilicata","2","14"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Calabria","1","2"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Sicilia","12","24"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Sardegna","178","232"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Bolzano","6","6"
"2022","Città metropolitana Cagliari","ASSEMINI","4","Non disponibile","Trento","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Francia","19","79"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Paesi Bassi","18","45"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Germania","50","107"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Regno Unito","2","4"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Irlanda","1","4"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Portogallo","3","3"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Spagna","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Belgio","4","6"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Finlandia","3","3"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Svizzera (incluso Liechtenstein)","3","3"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Austria","6","6"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Malta","4","4"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Turchia","9","120"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Estonia","1","1"
"2022","Città metropolitana Cagliari","ASSEMINI","5","Non disponibile","Lettonia","2","2"
